TypingSpeed,0.05,
Id,Speaker,Content
1,,상식이란 상대적이다.
2,,세계의 보편성이란 그 세계의 상식을 따른다.
3,,그렇기에 우리는 서로를 이해할 수 없다.
4,,"서로 다른 세계의 서로는 서로를 이해할 수 없고,"
5,,"같은 세계의 개인도 각자의 세계 속에서 서로를 이해할 수 없고,"
6,,"그것은 곧 불화와 통합의 어려움으로 귀결되고,"
7,,서로를 이해할 수 없을 때 우리는 더욱 불행해진다.
8,,"그렇기에 서로의 세계를 하나로 통합한다면,"
9,,"서로의 행동에 의문을 품는 일이 없고,"
10,,"내가 무엇을 할지, 상대가 무엇을 할지 항상 완벽하게 이해하고 있다면,"
11,,"그리고 자신의 그 일로부터 행복을 느끼도록 설계된다면,"
12,,"불화는 없을 것이고, 개인은 행복할 것이다."
13,,"개개인의 행복이 서로 불화가 없다면, 사회에는 불화가 없을 것이다."
14,,그렇기에 모두가 행복할 것이다.
15,,이곳에서는 모두가 행복하다.